Edge	Score_init	Score_changed
nad_c (pp) 13dpg_c	1.0	4.0
nad_c (pp) h_c	1.0	4.0
nad_c (pp) nadh_c	1.0	4.0
GAPD (pp) GAPD	1.0	4.0
GAPD (pp) 13dpg_c	1.0	4.0
GAPD (pp) h_c	1.0	4.0
GAPD (pp) nadh_c	1.0	4.0
pep_c (pp) GLCpts	1.0	0.25
pep_c (pp) g6p_c	1.0	0.25
pep_c (pp) pyr_c	1.0	0.25
glc__D_e (pp) GLCpts	1.0	0.25
glc__D_e (pp) g6p_c	1.0	0.25
glc__D_e (pp) pyr_c	1.0	0.25
GLCpts (pp) GLCpts	1.0	0.25
GLCpts (pp) g6p_c	1.0	0.25
GLCpts (pp) pyr_c	1.0	0.25
atp_c (pp) GLNS	1.0	4.0
atp_c (pp) h_c	1.0	4.0
atp_c (pp) adp_c	1.0	4.0
atp_c (pp) pi_c	1.0	4.0
atp_c (pp) gln__L_c	1.0	4.0
glu__L_c (pp) GLNS	1.0	4.0
glu__L_c (pp) h_c	1.0	4.0
glu__L_c (pp) adp_c	1.0	4.0
glu__L_c (pp) pi_c	1.0	4.0
glu__L_c (pp) gln__L_c	1.0	4.0
nh4_c (pp) GLNS	1.0	4.0
nh4_c (pp) h_c	1.0	4.0
nh4_c (pp) adp_c	1.0	4.0
nh4_c (pp) pi_c	1.0	4.0
nh4_c (pp) gln__L_c	1.0	4.0
GLNS (pp) GLNS	1.0	4.0
GLNS (pp) h_c	1.0	4.0
GLNS (pp) adp_c	1.0	4.0
GLNS (pp) pi_c	1.0	4.0
GLNS (pp) gln__L_c	1.0	4.0
h2o_c (pp) GLNabc	1.0	4.0
h2o_c (pp) h_c	1.0	4.0
h2o_c (pp) adp_c	1.0	4.0
h2o_c (pp) pi_c	1.0	4.0
h2o_c (pp) gln__L_c	1.0	4.0
atp_c (pp) GLNabc	1.0	4.0
atp_c (pp) h_c	1.0	4.0
atp_c (pp) adp_c	1.0	4.0
atp_c (pp) pi_c	1.0	4.0
atp_c (pp) gln__L_c	1.0	4.0
gln__L_e (pp) GLNabc	1.0	4.0
gln__L_e (pp) h_c	1.0	4.0
